Scorecard,Team 1,Team 2,Ground,Winner,Host,Day,Month,Year,WinInn
ODI # 2952,Australia,West Indies,Adelaide,Australia,Australia,9,Feb,2010,2
ODI # 2953,New Zealand,Bangladesh,Christchurch,New Zealand,New Zealand,11,Feb,2010,2
ODI # 2955,Australia,West Indies,Brisbane,Australia,Australia,14,Feb,2010,1
ODI # 2956,Kenya,Netherlands,Nairobi,Kenya,Kenya,16,Feb,2010,2
ODI # 2957,Afghanistan,Canada,Sharjah,Afghanistan,U.A.E.,16,Feb,2010,1
ODI # 2958,Kenya,Netherlands,Nairobi,Netherlands,Kenya,18,Feb,2010,1
ODI # 2959,Afghanistan,Canada,Sharjah,Canada,U.A.E.,18,Feb,2010,2
ODI # 2960,Australia,West Indies,Melbourne,Australia,Australia,19,Feb,2010,1
ODI # 2961,India,South Africa,Jaipur,India,India,21,Feb,2010,1
ODI # 2962,India,South Africa,Gwalior,India,India,24,Feb,2010,1
ODI # 2963,India,South Africa,Ahmedabad,South Africa,India,27,Feb,2010,1
ODI # 2964,Bangladesh,England,Dhaka,England,Bangladesh,28,Feb,2010,2
ODI # 2965,Bangladesh,England,Dhaka,England,Bangladesh,2,Mar,2010,2
ODI # 2966,New Zealand,Australia,Napier,New Zealand,New Zealand,3,Mar,2010,2
ODI # 2967,West Indies,Zimbabwe,Providence,Zimbabwe,West Indies,4,Mar,2010,1
ODI # 2968,Bangladesh,England,Chittagong,England,Bangladesh,5,Mar,2010,1
ODI # 2969,New Zealand,Australia,Auckland,Australia,New Zealand,6,Mar,2010,1
ODI # 2970,West Indies,Zimbabwe,Providence,West Indies,West Indies,6,Mar,2010,2
ODI # 2971,New Zealand,Australia,Hamilton,Australia,New Zealand,9,Mar,2010,2
ODI # 2972,West Indies,Zimbabwe,Kingstown,West Indies,West Indies,10,Mar,2010,1
ODI # 2973,New Zealand,Australia,Auckland,Australia,New Zealand,11,Mar,2010,2
ODI # 2974,West Indies,Zimbabwe,Kingstown,West Indies,West Indies,12,Mar,2010,2
ODI # 2975,New Zealand,Australia,Wellington,New Zealand,New Zealand,13,Mar,2010,1
ODI # 2976,West Indies,Zimbabwe,Kingstown,West Indies,West Indies,14,Mar,2010,2
ODI # 2977,West Indies,Canada,Kingston,West Indies,West Indies,13,Apr,2010,1
ODI # 2978,West Indies,Ireland,Kingston,West Indies,West Indies,15,Apr,2010,2
ODI # 2979,West Indies,South Africa,North Sound,South Africa,West Indies,22,May,2010,1
ODI # 2980,West Indies,South Africa,North Sound,South Africa,West Indies,24,May,2010,1
ODI # 2981,Zimbabwe,India,Bulawayo,Zimbabwe,Zimbabwe,28,May,2010,2
ODI # 2982,West Indies,South Africa,Roseau,South Africa,West Indies,28,May,2010,1
ODI # 2983,India,Sri Lanka,Bulawayo,India,Zimbabwe,30,May,2010,2
ODI # 2984,West Indies,South Africa,Roseau,South Africa,West Indies,30,May,2010,2
ODI # 2985,Zimbabwe,Sri Lanka,Bulawayo,Sri Lanka,Zimbabwe,1,Jun,2010,2
ODI # 2986,Zimbabwe,India,Harare,Zimbabwe,Zimbabwe,3,Jun,2010,2
ODI # 2987,West Indies,South Africa,Port of Spain,South Africa,West Indies,3,Jun,2010,2
ODI # 2988,India,Sri Lanka,Harare,Sri Lanka,Zimbabwe,5,Jun,2010,2
ODI # 2989,Zimbabwe,Sri Lanka,Harare,Zimbabwe,Zimbabwe,7,Jun,2010,2
ODI # 2990,Zimbabwe,Sri Lanka,Harare,Sri Lanka,Zimbabwe,9,Jun,2010,2
ODI # 2991,Sri Lanka,Pakistan,Dambulla,Sri Lanka,Sri Lanka,15,Jun,2010,1
ODI # 2992,Netherlands,Scotland,Rotterdam,Netherlands,Netherlands,15,Jun,2010,2
ODI # 2993,Bangladesh,India,Dambulla,India,Sri Lanka,16,Jun,2010,2
ODI # 2994,Ireland,Australia,Dublin,Australia,Ireland,17,Jun,2010,1
ODI # 2995,Sri Lanka,Bangladesh,Dambulla,Sri Lanka,Sri Lanka,18,Jun,2010,1
ODI # 2996,India,Pakistan,Dambulla,India,Sri Lanka,19,Jun,2010,2
ODI # 2997,Scotland,England,Edinburgh,England,Scotland,19,Jun,2010,2
ODI # 2998,Bangladesh,Pakistan,Dambulla,Pakistan,Sri Lanka,21,Jun,2010,1
ODI # 2999,Sri Lanka,India,Dambulla,Sri Lanka,Sri Lanka,22,Jun,2010,2
ODI # 3000,England,Australia,Southampton,England,England,22,Jun,2010,2
ODI # 3001,Sri Lanka,India,Dambulla,India,Sri Lanka,24,Jun,2010,1
ODI # 3002,England,Australia,Cardiff,England,England,24,Jun,2010,2
ODI # 3003,England,Australia,Manchester,England,England,27,Jun,2010,2
ODI # 3004,England,Australia,The Oval,Australia,England,30,Jun,2010,1
ODI # 3005,Afghanistan,Canada,The Hague,Afghanistan,Netherlands,1,Jul,2010,2
ODI # 3006,Ireland,Kenya,Rotterdam,Ireland,Netherlands,1,Jul,2010,2
ODI # 3007,Netherlands,Scotland,Amstelveen,Scotland,Netherlands,1,Jul,2010,2
ODI # 3008,Afghanistan,Ireland,Rotterdam,Ireland,Netherlands,3-4,Jul,2010,1
ODI # 3009,Canada,Scotland,Amstelveen,Scotland,Netherlands,3,Jul,2010,1
ODI # 3010,Netherlands,Kenya,The Hague,Netherlands,Netherlands,3,Jul,2010,1
ODI # 3011,England,Australia,Lord's,Australia,England,3,Jul,2010,1
ODI # 3012,Afghanistan,Kenya,Amstelveen,Afghanistan,Netherlands,5,Jul,2010,2
ODI # 3013,Ireland,Scotland,The Hague,Ireland,Netherlands,5,Jul,2010,2
ODI # 3014,Netherlands,Canada,Rotterdam,Netherlands,Netherlands,5,Jul,2010,2
ODI # 3015,Canada,Ireland,Amstelveen,Ireland,Netherlands,7,Jul,2010,2
ODI # 3016,Kenya,Scotland,Rotterdam,Scotland,Netherlands,7,Jul,2010,1
ODI # 3017,Netherlands,Afghanistan,The Hague,Afghanistan,Netherlands,7,Jul,2010,2
ODI # 3018,England,Bangladesh,Nottingham,England,England,8,Jul,2010,2
ODI # 3019,Afghanistan,Scotland,Rotterdam,Scotland,Netherlands,9,Jul,2010,2
ODI # 3020,Canada,Kenya,Schiedam,Canada,Netherlands,9,Jul,2010,2
ODI # 3021,Netherlands,Ireland,Amstelveen,Ireland,Netherlands,9,Jul,2010,1
ODI # 3022,Canada,Kenya,Schiedam,Canada,Netherlands,10,Jul,2010,2
ODI # 3023,Ireland,Scotland,Amstelveen,Ireland,Netherlands,10,Jul,2010,2
ODI # 3024,Netherlands,Afghanistan,Rotterdam,Afghanistan,Netherlands,10,Jul,2010,2
ODI # 3025,England,Bangladesh,Bristol,Bangladesh,England,10,Jul,2010,1
ODI # 3026,England,Bangladesh,Birmingham,England,England,12,Jul,2010,1
ODI # 3027,Ireland,Bangladesh,Belfast,Ireland,Ireland,15,Jul,2010,2
ODI # 3028,Ireland,Bangladesh,Belfast,Bangladesh,Ireland,16,Jul,2010,2
ODI # 3029,Bangladesh,Netherlands,Glasgow,Netherlands,Scotland,20,Jul,2010,2
ODI # 3030,India,New Zealand,Dambulla,New Zealand,Sri Lanka,10,Aug,2010,1
ODI # 3031,Sri Lanka,New Zealand,Dambulla,Sri Lanka,Sri Lanka,13,Aug,2010,2
ODI # 3032,Sri Lanka,India,Dambulla,India,Sri Lanka,16,Aug,2010,2
ODI # 3033,Scotland,Afghanistan,Ayr,Afghanistan,Scotland,16,Aug,2010,2
ODI # 3034,Ireland,Netherlands,Dublin,Ireland,Ireland,16,Aug,2010,1
ODI # 3035,Scotland,Afghanistan,Ayr,Scotland,Scotland,17,Aug,2010,2
ODI # 3036,Ireland,Netherlands,Dublin,Ireland,Ireland,18,Aug,2010,2
ODI # 3038,Sri Lanka,India,Dambulla,Sri Lanka,Sri Lanka,22,Aug,2010,2
ODI # 3039,India,New Zealand,Dambulla,India,Sri Lanka,25,Aug,2010,1
ODI # 3040,Sri Lanka,India,Dambulla,Sri Lanka,Sri Lanka,28,Aug,2010,1
ODI # 3041,Canada,Ireland,Toronto,Canada,Canada,6,Sep,2010,1
ODI # 3042,Canada,Ireland,Toronto,Ireland,Canada,7,Sep,2010,1
ODI # 3043,England,Pakistan,Chester,England,England,10,Sep,2010,1
ODI # 3044,England,Pakistan,Leeds,England,England,12,Sep,2010,2
ODI # 3045,England,Pakistan,The Oval,Pakistan,England,17,Sep,2010,1
ODI # 3046,England,Pakistan,Lord's,Pakistan,England,20,Sep,2010,1
ODI # 3047,England,Pakistan,Southampton,England,England,22,Sep,2010,1
ODI # 3048,Zimbabwe,Ireland,Harare,Zimbabwe,Zimbabwe,26,Sep,2010,2
ODI # 3049,Zimbabwe,Ireland,Harare,Zimbabwe,Zimbabwe,28,Sep,2010,2
ODI # 3050,Zimbabwe,Ireland,Harare,Ireland,Zimbabwe,30,Sep,2010,1
ODI # 3051,Bangladesh,New Zealand,Dhaka,Bangladesh,Bangladesh,5,Oct,2010,1
ODI # 3052,Kenya,Afghanistan,Nairobi,Kenya,Kenya,7,Oct,2010,1
ODI # 3053,Kenya,Afghanistan,Nairobi,Afghanistan,Kenya,9,Oct,2010,2
ODI # 3054,Bangladesh,New Zealand,Dhaka,Bangladesh,Bangladesh,11,Oct,2010,2
ODI # 3055,Kenya,Afghanistan,Nairobi,Kenya,Kenya,11,Oct,2010,2
ODI # 3056,Bangladesh,New Zealand,Dhaka,Bangladesh,Bangladesh,14,Oct,2010,1
ODI # 3057,South Africa,Zimbabwe,Bloemfontein,South Africa,South Africa,15,Oct,2010,1
ODI # 3058,Bangladesh,New Zealand,Dhaka,Bangladesh,Bangladesh,17,Oct,2010,1
ODI # 3059,South Africa,Zimbabwe,Potchefstroom,South Africa,South Africa,17,Oct,2010,2
ODI # 3060,India,Australia,Visakhapatnam,India,India,20,Oct,2010,2
ODI # 3061,South Africa,Zimbabwe,Benoni,South Africa,South Africa,22,Oct,2010,1
ODI # 3062,Pakistan,South Africa,Abu Dhabi,South Africa,U.A.E.,29,Oct,2010,2
ODI # 3063,Pakistan,South Africa,Abu Dhabi,Pakistan,U.A.E.,31,Oct,2010,2
ODI # 3064,Pakistan,South Africa,Dubai,South Africa,U.A.E.,2,Nov,2010,1
ODI # 3065,Australia,Sri Lanka,Melbourne,Sri Lanka,Australia,3,Nov,2010,2
ODI # 3066,Australia,Sri Lanka,Sydney,Sri Lanka,Australia,5,Nov,2010,1
ODI # 3067,Pakistan,South Africa,Dubai,Pakistan,U.A.E.,5,Nov,2010,2
ODI # 3068,Australia,Sri Lanka,Brisbane,Australia,Australia,7,Nov,2010,2
ODI # 3069,Pakistan,South Africa,Dubai,South Africa,U.A.E.,8,Nov,2010,1
ODI # 3070,India,New Zealand,Guwahati,India,India,28,Nov,2010,1
ODI # 3071,Bangladesh,Zimbabwe,Dhaka,Zimbabwe,Bangladesh,1,Dec,2010,1
ODI # 3072,India,New Zealand,Jaipur,India,India,1,Dec,2010,2
ODI # 3073,Bangladesh,Zimbabwe,Dhaka,Bangladesh,Bangladesh,3,Dec,2010,2
ODI # 3074,India,New Zealand,Vadodara,India,India,4,Dec,2010,2
ODI # 3075,Bangladesh,Zimbabwe,Dhaka,Bangladesh,Bangladesh,6,Dec,2010,1
ODI # 3076,India,New Zealand,Bengaluru,India,India,7,Dec,2010,2
ODI # 3077,India,New Zealand,Chennai,India,India,10,Dec,2010,2
ODI # 3078,Bangladesh,Zimbabwe,Chittagong,Bangladesh,Bangladesh,12,Dec,2010,2
ODI # 3079,South Africa,India,Durban,South Africa,South Africa,12,Jan,2011,1
ODI # 3080,South Africa,India,Johannesburg,India,South Africa,15,Jan,2011,1
ODI # 3081,Australia,England,Melbourne,Australia,Australia,16,Jan,2011,2
ODI # 3082,South Africa,India,Cape Town,India,South Africa,18,Jan,2011,2
ODI # 3083,Australia,England,Hobart,Australia,Australia,21,Jan,2011,1
ODI # 3084,South Africa,India,Port Elizabeth,South Africa,South Africa,21,Jan,2011,1
ODI # 3085,New Zealand,Pakistan,Wellington,New Zealand,New Zealand,22,Jan,2011,2
ODI # 3086,Australia,England,Sydney,Australia,Australia,23,Jan,2011,2
ODI # 3087,South Africa,India,Centurion,South Africa,South Africa,23,Jan,2011,1
ODI # 3089,Australia,England,Adelaide,England,Australia,26,Jan,2011,1
ODI # 3090,New Zealand,Pakistan,Christchurch,Pakistan,New Zealand,29,Jan,2011,1
ODI # 3091,Australia,England,Brisbane,Australia,Australia,30,Jan,2011,1
ODI # 3093,New Zealand,Pakistan,Napier,Pakistan,New Zealand,1,Feb,2011,2
ODI # 3094,Australia,England,Sydney,Australia,Australia,2,Feb,2011,2
ODI # 3095,New Zealand,Pakistan,Hamilton,Pakistan,New Zealand,3,Feb,2011,1
ODI # 3096,Sri Lanka,West Indies,Colombo,Sri Lanka,Sri Lanka,3,Feb,2011,2
ODI # 3097,New Zealand,Pakistan,Auckland,New Zealand,New Zealand,5,Feb,2011,1
ODI # 3098,Australia,England,Perth,Australia,Australia,6,Feb,2011,1
ODI # 3099,Sri Lanka,West Indies,Colombo,Sri Lanka,Sri Lanka,6,Feb,2011,1
ODI # 3100,Bangladesh,India,Dhaka,India,Bangladesh,19,Feb,2011,1
ODI # 3101,Kenya,New Zealand,Chennai,New Zealand,India,20,Feb,2011,2
ODI # 3102,Sri Lanka,Canada,Hambantota,Sri Lanka,Sri Lanka,20,Feb,2011,1
ODI # 3103,Australia,Zimbabwe,Ahmedabad,Australia,India,21,Feb,2011,1
ODI # 3104,England,Netherlands,Nagpur,England,India,22,Feb,2011,2
ODI # 3105,Kenya,Pakistan,Hambantota,Pakistan,Sri Lanka,23,Feb,2011,1
ODI # 3106,South Africa,West Indies,Delhi,South Africa,India,24,Feb,2011,2
ODI # 3107,Australia,New Zealand,Nagpur,Australia,India,25,Feb,2011,2
ODI # 3108,Bangladesh,Ireland,Dhaka,Bangladesh,Bangladesh,25,Feb,2011,1
ODI # 3109,Sri Lanka,Pakistan,Colombo,Pakistan,Sri Lanka,26,Feb,2011,1
ODI # 3111,Canada,Zimbabwe,Nagpur,Zimbabwe,India,28,Feb,2011,1
ODI # 3112,Netherlands,West Indies,Delhi,West Indies,India,28,Feb,2011,1
ODI # 3113,Sri Lanka,Kenya,Colombo,Sri Lanka,Sri Lanka,1,Mar,2011,2
ODI # 3114,England,Ireland,Bengaluru,Ireland,India,2,Mar,2011,2
ODI # 3115,Netherlands,South Africa,Mohali,South Africa,,3,Mar,2011,1
ODI # 3116,Canada,Pakistan,Colombo,Pakistan,Sri Lanka,3,Mar,2011,1
ODI # 3117,New Zealand,Zimbabwe,Ahmedabad,New Zealand,India,4,Mar,2011,2
ODI # 3118,Bangladesh,West Indies,Dhaka,West Indies,Bangladesh,4,Mar,2011,2
ODI # 3120,England,South Africa,Chennai,England,India,6,Mar,2011,1
ODI # 3121,India,Ireland,Bengaluru,India,India,6,Mar,2011,2
ODI # 3122,Canada,Kenya,Delhi,Canada,India,7,Mar,2011,2
ODI # 3123,New Zealand,Pakistan,Pallekele,New Zealand,,8,Mar,2011,1
ODI # 3124,India,Netherlands,Delhi,India,India,9,Mar,2011,2
ODI # 3125,Sri Lanka,Zimbabwe,Pallekele,Sri Lanka,,10,Mar,2011,1
ODI # 3126,Ireland,West Indies,Mohali,West Indies,,11,Mar,2011,1
ODI # 3127,Bangladesh,England,Chittagong,Bangladesh,Bangladesh,11,Mar,2011,2
ODI # 3128,India,South Africa,Nagpur,South Africa,India,12,Mar,2011,2
ODI # 3129,Canada,New Zealand,Mumbai,New Zealand,India,13,Mar,2011,1
ODI # 3130,Australia,Kenya,Bengaluru,Australia,India,13,Mar,2011,1
ODI # 3131,Bangladesh,Netherlands,Chittagong,Bangladesh,Bangladesh,14,Mar,2011,2
ODI # 3132,Pakistan,Zimbabwe,Pallekele,Pakistan,,14,Mar,2011,2
ODI # 3133,Ireland,South Africa,Kolkata,South Africa,India,15,Mar,2011,1
ODI # 3134,Australia,Canada,Bengaluru,Australia,India,16,Mar,2011,2
ODI # 3135,England,West Indies,Chennai,England,India,17,Mar,2011,1
ODI # 3136,Ireland,Netherlands,Kolkata,Ireland,India,18,Mar,2011,2
ODI # 3137,New Zealand,Sri Lanka,Mumbai,Sri Lanka,India,18,Mar,2011,1
ODI # 3138,Bangladesh,South Africa,Dhaka,South Africa,Bangladesh,19,Mar,2011,1
ODI # 3139,Australia,Pakistan,Colombo,Pakistan,Sri Lanka,19,Mar,2011,2
ODI # 3140,Kenya,Zimbabwe,Kolkata,Zimbabwe,India,20,Mar,2011,1
ODI # 3141,India,West Indies,Chennai,India,India,20,Mar,2011,1
ODI # 3142,Pakistan,West Indies,Dhaka,Pakistan,Bangladesh,23,Mar,2011,2
ODI # 3143,India,Australia,Ahmedabad,India,India,24,Mar,2011,2
ODI # 3144,New Zealand,South Africa,Dhaka,New Zealand,Bangladesh,25,Mar,2011,1
ODI # 3145,Sri Lanka,England,Colombo,Sri Lanka,Sri Lanka,26,Mar,2011,2
ODI # 3146,Sri Lanka,New Zealand,Colombo,Sri Lanka,Sri Lanka,29,Mar,2011,2
ODI # 3147,India,Pakistan,Mohali,India,,30,Mar,2011,1
ODI # 3148,India,Sri Lanka,Mumbai,India,India,2,Apr,2011,2
ODI # 3149,Bangladesh,Australia,Dhaka,Australia,Bangladesh,9,Apr,2011,1
ODI # 3150,Bangladesh,Australia,Dhaka,Australia,Bangladesh,11,Apr,2011,2
ODI # 3151,Bangladesh,Australia,Dhaka,Australia,Bangladesh,13,Apr,2011,1
ODI # 3152,West Indies,Pakistan,Gros Islet,Pakistan,West Indies,23,Apr,2011,2
ODI # 3153,West Indies,Pakistan,Gros Islet,Pakistan,West Indies,25,Apr,2011,2
ODI # 3154,West Indies,Pakistan,Bridgetown,Pakistan,West Indies,28,Apr,2011,2
ODI # 3155,West Indies,Pakistan,Bridgetown,West Indies,West Indies,2,May,2011,1
ODI # 3156,West Indies,Pakistan,Providence,West Indies,West Indies,5,May,2011,2
ODI # 3157,Ireland,Pakistan,Belfast,Pakistan,Ireland,28,May,2011,2
ODI # 3158,Ireland,Pakistan,Belfast,Pakistan,Ireland,30,May,2011,2
ODI # 3159,West Indies,India,Port of Spain,India,West Indies,6,Jun,2011,2
ODI # 3160,West Indies,India,Port of Spain,India,West Indies,8,Jun,2011,2
ODI # 3161,West Indies,India,North Sound,India,West Indies,11,Jun,2011,2
ODI # 3162,West Indies,India,North Sound,West Indies,West Indies,13,Jun,2011,1
ODI # 3163,West Indies,India,Kingston,West Indies,West Indies,16,Jun,2011,2
ODI # 3164,Scotland,Netherlands,Aberdeen,Scotland,Scotland,28,Jun,2011,1
ODI # 3165,England,Sri Lanka,The Oval,England,England,28,Jun,2011,1
ODI # 3166,Scotland,Netherlands,Aberdeen,Scotland,Scotland,29,Jun,2011,2
ODI # 3167,England,Sri Lanka,Leeds,Sri Lanka,England,1,Jul,2011,1
ODI # 3168,England,Sri Lanka,Lord's,Sri Lanka,England,3,Jul,2011,2
ODI # 3169,England,Sri Lanka,Nottingham,England,England,6,Jul,2011,2
ODI # 3170,England,Sri Lanka,Manchester,England,England,9,Jul,2011,1
ODI # 3171,Scotland,Ireland,Edinburgh,Scotland,Scotland,12,Jul,2011,2
ODI # 3172,Scotland,Sri Lanka,Edinburgh,Sri Lanka,Scotland,13,Jul,2011,1
ODI # 3173,Canada,Afghanistan,King City,Afghanistan,Canada,7,Aug,2011,2
ODI # 3174,Canada,Afghanistan,Toronto,Afghanistan,Canada,9,Aug,2011,1
ODI # 3175,Sri Lanka,Australia,Pallekele,Australia,,10,Aug,2011,2
ODI # 3176,Zimbabwe,Bangladesh,Harare,Zimbabwe,Zimbabwe,12,Aug,2011,2
ODI # 3177,Zimbabwe,Bangladesh,Harare,Zimbabwe,Zimbabwe,14,Aug,2011,2
ODI # 3178,Sri Lanka,Australia,Hambantota,Australia,Sri Lanka,14,Aug,2011,2
ODI # 3179,Zimbabwe,Bangladesh,Harare,Zimbabwe,Zimbabwe,16,Aug,2011,1
ODI # 3180,Sri Lanka,Australia,Hambantota,Sri Lanka,Sri Lanka,16,Aug,2011,1
ODI # 3181,Zimbabwe,Bangladesh,Bulawayo,Bangladesh,Zimbabwe,19,Aug,2011,2
ODI # 3182,Sri Lanka,Australia,Colombo,Australia,Sri Lanka,20,Aug,2011,2
ODI # 3183,Zimbabwe,Bangladesh,Bulawayo,Bangladesh,Zimbabwe,21,Aug,2011,1
ODI # 3184,Sri Lanka,Australia,Colombo,Sri Lanka,Sri Lanka,22,Aug,2011,2
ODI # 3185,Ireland,England,Dublin,England,Ireland,25,Aug,2011,1
ODI # 3187,England,India,Southampton,England,England,6,Sep,2011,2
ODI # 3188,Zimbabwe,Pakistan,Bulawayo,Pakistan,Zimbabwe,8,Sep,2011,1
ODI # 3189,England,India,The Oval,England,England,9,Sep,2011,2
ODI # 3190,Zimbabwe,Pakistan,Harare,Pakistan,Zimbabwe,11,Sep,2011,2
ODI # 3192,Netherlands,Kenya,The Hague,Netherlands,Netherlands,12,Sep,2011,2
ODI # 3193,Netherlands,Kenya,The Hague,Netherlands,Netherlands,13,Sep,2011,2
ODI # 3194,Zimbabwe,Pakistan,Harare,Pakistan,Zimbabwe,14,Sep,2011,1
ODI # 3195,England,India,Cardiff,England,England,16,Sep,2011,2
ODI # 3196,Ireland,Canada,Dublin,Ireland,Ireland,19,Sep,2011,1
ODI # 3197,Ireland,Canada,Dublin,Ireland,Ireland,20,Sep,2011,1
ODI # 3198,Bangladesh,West Indies,Dhaka,West Indies,Bangladesh,13,Oct,2011,1
ODI # 3199,India,England,Hyderabad,India,India,14,Oct,2011,1
ODI # 3200,Bangladesh,West Indies,Dhaka,West Indies,Bangladesh,15,Oct,2011,2
ODI # 3201,India,England,Delhi,India,India,17,Oct,2011,2
ODI # 3202,Bangladesh,West Indies,Chittagong,Bangladesh,Bangladesh,18,Oct,2011,2
ODI # 3203,South Africa,Australia,Centurion,Australia,South Africa,19,Oct,2011,1
ODI # 3204,Zimbabwe,New Zealand,Harare,New Zealand,Zimbabwe,20,Oct,2011,2
ODI # 3205,India,England,Mohali,India,,20,Oct,2011,2
ODI # 3206,Zimbabwe,New Zealand,Harare,New Zealand,Zimbabwe,22,Oct,2011,2
ODI # 3207,India,England,Mumbai,India,India,23,Oct,2011,2
ODI # 3208,South Africa,Australia,Port Elizabeth,South Africa,South Africa,23,Oct,2011,1
ODI # 3209,Zimbabwe,New Zealand,Bulawayo,Zimbabwe,Zimbabwe,25,Oct,2011,2
ODI # 3210,India,England,Kolkata,India,India,25,Oct,2011,1
ODI # 3211,South Africa,Australia,Durban,Australia,South Africa,28,Oct,2011,2
ODI # 3212,Pakistan,Sri Lanka,Dubai,Pakistan,U.A.E.,11,Nov,2011,2
ODI # 3213,Pakistan,Sri Lanka,Dubai,Sri Lanka,U.A.E.,14,Nov,2011,1
ODI # 3214,Pakistan,Sri Lanka,Dubai,Pakistan,U.A.E.,18,Nov,2011,1
ODI # 3215,Pakistan,Sri Lanka,Sharjah,Pakistan,U.A.E.,20,Nov,2011,1
ODI # 3216,Pakistan,Sri Lanka,Abu Dhabi,Pakistan,U.A.E.,23,Nov,2011,2
ODI # 3217,India,West Indies,Cuttack,India,India,29,Nov,2011,2
ODI # 3218,Bangladesh,Pakistan,Dhaka,Pakistan,Bangladesh,1,Dec,2011,2
ODI # 3219,India,West Indies,Visakhapatnam,India,India,2,Dec,2011,2
ODI # 3220,Bangladesh,Pakistan,Dhaka,Pakistan,Bangladesh,3,Dec,2011,1
ODI # 3221,India,West Indies,Ahmedabad,West Indies,India,5,Dec,2011,1
ODI # 3222,Bangladesh,Pakistan,Chittagong,Pakistan,Bangladesh,6,Dec,2011,1
ODI # 3223,India,West Indies,Indore,India,India,8,Dec,2011,1
ODI # 3224,India,West Indies,Chennai,India,India,11,Dec,2011,1
ODI # 3225,South Africa,Sri Lanka,Paarl,South Africa,South Africa,11,Jan,2012,1
ODI # 3226,South Africa,Sri Lanka,East London,South Africa,South Africa,14,Jan,2012,2
ODI # 3227,South Africa,Sri Lanka,Bloemfontein,South Africa,South Africa,17,Jan,2012,1
ODI # 3228,South Africa,Sri Lanka,Kimberley,Sri Lanka,South Africa,20,Jan,2012,2
ODI # 3229,South Africa,Sri Lanka,Johannesburg,Sri Lanka,South Africa,22,Jan,2012,2
ODI # 3230,New Zealand,Zimbabwe,Dunedin,New Zealand,New Zealand,3,Feb,2012,1
ODI # 3231,Australia,India,Melbourne,Australia,Australia,5,Feb,2012,1
ODI # 3232,New Zealand,Zimbabwe,Whangarei,New Zealand,New Zealand,6,Feb,2012,1
ODI # 3233,India,Sri Lanka,Perth,India,Australia,8,Feb,2012,2
ODI # 3234,New Zealand,Zimbabwe,Napier,New Zealand,New Zealand,9,Feb,2012,1
ODI # 3235,Australia,Sri Lanka,Perth,Australia,Australia,10,Feb,2012,1
ODI # 3236,Afghanistan,Pakistan,Sharjah,Pakistan,U.A.E.,10,Feb,2012,2
ODI # 3237,Australia,India,Adelaide,India,Australia,12,Feb,2012,2
ODI # 3238,England,Pakistan,Abu Dhabi,England,U.A.E.,13,Feb,2012,1
ODI # 3240,England,Pakistan,Abu Dhabi,England,U.A.E.,15,Feb,2012,1
ODI # 3241,Australia,Sri Lanka,Sydney,Sri Lanka,Australia,17,Feb,2012,2
ODI # 3242,Kenya,Ireland,Mombasa,Kenya,Kenya,18,Feb,2012,2
ODI # 3243,England,Pakistan,Dubai,England,U.A.E.,18,Feb,2012,2
ODI # 3244,Australia,India,Brisbane,Australia,Australia,19,Feb,2012,1
ODI # 3245,Kenya,Ireland,Mombasa,Ireland,Kenya,20,Feb,2012,1
ODI # 3246,India,Sri Lanka,Brisbane,Sri Lanka,Australia,21,Feb,2012,1
ODI # 3247,England,Pakistan,Dubai,England,U.A.E.,21,Feb,2012,2
ODI # 3248,Australia,Sri Lanka,Hobart,Sri Lanka,Australia,24,Feb,2012,2
ODI # 3249,New Zealand,South Africa,Wellington,South Africa,New Zealand,25,Feb,2012,2
ODI # 3250,Australia,India,Sydney,Australia,Australia,26,Feb,2012,1
ODI # 3251,India,Sri Lanka,Hobart,India,Australia,28,Feb,2012,2
ODI # 3252,New Zealand,South Africa,Napier,South Africa,New Zealand,29,Feb,2012,2
ODI # 3253,Australia,Sri Lanka,Melbourne,Sri Lanka,Australia,2,Mar,2012,1
ODI # 3254,New Zealand,South Africa,Auckland,South Africa,New Zealand,3,Mar,2012,2
ODI # 3255,Australia,Sri Lanka,Brisbane,Australia,Australia,4,Mar,2012,1
ODI # 3256,Australia,Sri Lanka,Adelaide,Sri Lanka,Australia,6,Mar,2012,2
ODI # 3257,Australia,Sri Lanka,Adelaide,Australia,Australia,8,Mar,2012,1
ODI # 3258,Bangladesh,Pakistan,Dhaka,Pakistan,Bangladesh,11,Mar,2012,1
ODI # 3259,India,Sri Lanka,Dhaka,India,Bangladesh,13,Mar,2012,1
ODI # 3260,Pakistan,Sri Lanka,Dhaka,Pakistan,Bangladesh,15,Mar,2012,2
ODI # 3261,Bangladesh,India,Dhaka,Bangladesh,Bangladesh,16,Mar,2012,2
ODI # 3262,West Indies,Australia,Kingstown,Australia,West Indies,16,Mar,2012,1
ODI # 3263,India,Pakistan,Dhaka,India,Bangladesh,18,Mar,2012,2
ODI # 3264,West Indies,Australia,Kingstown,West Indies,West Indies,18,Mar,2012,2
ODI # 3265,Bangladesh,Sri Lanka,Dhaka,Bangladesh,Bangladesh,20,Mar,2012,2
ODI # 3267,Bangladesh,Pakistan,Dhaka,Pakistan,Bangladesh,22,Mar,2012,1
ODI # 3268,West Indies,Australia,Gros Islet,West Indies,West Indies,23,Mar,2012,1
ODI # 3269,West Indies,Australia,Gros Islet,Australia,West Indies,25,Mar,2012,1
